model,task,scenario,fold_idx,train_rows,val_rows,block_rows,block_start,block_end,used_gpu,best_iteration,best_score,Accuracy,Precision,Recall,F1,PositiveRate,PredictedPositiveRate,ROC_AUC,PR_AUC
catboost,jump,imputed_locf5__single__inventory_spr_and_refinery,1,408,102,63,2024-04-12,2025-08-06,False,0,0.6092482197014937,0.7301587301587301,0.7948717948717948,0.775,0.7848101265822784,0.6349206349206349,0.6190476190476191,0.7146739130434784,0.7970470131588799
catboost,jump,imputed_locf5__single__inventory_spr_and_refinery,2,458,115,40,2025-08-07,2025-12-12,False,22,0.6182230858565653,0.8,0.0,0.0,0.0,0.1,0.1,0.4722222222222222,0.12884358288770054
