model,task,scenario,fold_idx,train_rows,val_rows,block_rows,block_start,block_end,used_gpu,best_iteration,best_score,Accuracy,Precision,Recall,F1,PositiveRate,PredictedPositiveRate,ROC_AUC,PR_AUC
catboost,jump,raw_decay__single__opec_producer_policy,1,408,102,63,2024-04-12,2025-08-06,False,7,0.6055722851461495,0.7142857142857143,0.775,0.775,0.775,0.6349206349206349,0.6349206349206349,0.6934782608695651,0.7741799111986323
catboost,jump,raw_decay__single__opec_producer_policy,2,458,115,40,2025-08-07,2025-12-12,False,12,0.616437292732828,0.8,0.0,0.0,0.0,0.1,0.1,0.6284722222222222,0.14859997029114674
