date,n_rows,mass_Supply Shock and availability risk,num_Supply Shock and availability risk,z_Supply Shock and availability risk,low_evidence_Supply Shock and availability risk,mass_Transport logistics and chokepoints,num_Transport logistics and chokepoints,z_Transport logistics and chokepoints,low_evidence_Transport logistics and chokepoints,mass_Demand and macro economy,num_Demand and macro economy,z_Demand and macro economy,low_evidence_Demand and macro economy,mass_Inventory SPR and refinery,num_Inventory SPR and refinery,z_Inventory SPR and refinery,low_evidence_Inventory SPR and refinery,mass_OPEC producer policy,num_OPEC producer policy,z_OPEC producer policy,low_evidence_OPEC producer policy,mass_Geopolitical Normalisation and Peace,num_Geopolitical Normalisation and Peace,z_Geopolitical Normalisation and Peace,low_evidence_Geopolitical Normalisation and Peace,_missing_reason
2017-01-01,129.0,7.929900326664205,2.940024412884244,0.37075174866932986,0.0,5.052585228666426,0.9306595053684861,0.18419471681314387,0.0,27.050307435769355,12.473455594525364,0.4611206591327452,0.0,4.7491289031095185,0.12781455431557998,0.026913262815817168,0.0,9.310944732445929,5.59331458750408,0.6007247114262217,0.0,3.7754398363758765,1.5150062125387591,0.4012793947719334,0.0,
2017-01-02,132.0,19.212013134885638,2.6888958989485534,0.13995909122433356,0.0,3.093252473074239,-0.5209190547231208,-0.1684049586180089,0.0,27.284964242149726,6.431418815830744,0.23571292814434072,0.0,5.676622949707958,-2.1303224553945377,-0.3752798933922739,0.0,21.914956116263056,13.26282258525656,0.6051950327846761,0.0,1.9259054679787315,0.4759253269592096,0.24711769859540447,0.0,
2017-01-03,77.0,16.620157691591885,5.94546012765613,0.3577258554330041,0.0,0.3550723747757693,-0.03487155811854711,,1.0,6.199040830601003,1.689200203699727,,1.0,5.067739053687544,2.4495658743004447,0.4833646421707559,0.0,19.737996273805038,12.67704496327286,0.6422660531199408,0.0,0.4300868849240907,0.2174975121317322,,1.0,
2017-01-04,111.0,27.816559613740537,11.369071919280412,0.4087159619000631,0.0,1.324400980847709,-0.3625897004352922,,1.0,14.012099028564988,6.134981556445573,0.43783458452147916,0.0,25.028304216917604,12.96425251531845,0.5179836557426614,0.0,20.330980697763152,11.965629884354541,0.5885416971386441,0.0,4.4218417243391706,1.0846648847640694,0.24529708487613697,0.0,
2017-01-05,112.0,46.536375550706,17.214178941737472,0.3699080286770704,0.0,1.6550665709000845,-1.0234317237030488,-0.6183628753654724,0.0,6.463280684009073,2.198967564249156,,1.0,23.724569970217996,6.919458024845,0.29165789026023053,0.0,39.877470141640515,14.220353219039733,0.3566011878017978,0.0,2.6696740794359304,-0.34999449727574,-0.13110008445288932,0.0,
2017-01-06,106.0,42.48992443490715,20.42420699267418,0.48068353296234356,0.0,1.7608154262197742,-0.9981179383448935,-0.5668498375708315,0.0,8.495192490612679,3.1933521753067162,0.37590109686571793,0.0,13.185258665718717,0.9540610684369732,0.07235816092994093,0.0,50.029362182787736,17.459175361027928,0.3489785717682933,0.0,1.9529674664008727,1.2672324010170788,0.6488753257894581,0.0,
2017-01-07,138.0,31.478543072320463,10.480432116645114,0.33293891945910004,0.0,5.694277716116625,-2.227494291951491,-0.3911811827594869,0.0,13.818117041722868,4.298060385907998,0.31104530182587803,0.0,8.535360486916028,-3.1421077343312964,-0.3681282986404472,0.0,29.86151333818998,9.638277309242454,0.3227658692339625,0.0,2.22470867427182,0.3285042848004811,0.14766170896870595,0.0,
2017-01-08,98.0,22.824902753338392,5.19848515931225,0.22775497514669213,0.0,4.371107920815117,1.6745558377649017,0.3830964295781179,0.0,16.82767819439323,8.262134477317861,0.4909848157228667,0.0,7.154476789582983,-2.3531700607748354,-0.3289087560114925,0.0,19.61083326343214,7.430800446630817,0.37891303989039854,0.0,1.705596378611513,0.22272611764049116,0.13058547756873606,0.0,
2017-01-09,96.0,56.417748278559884,-30.210428420968764,-0.5354773868642585,0.0,1.1959753338887775,-0.14557474422674097,,1.0,5.136485808645371,2.2186819436838094,,1.0,5.863430625846373,-4.30225760512142,-0.733744096187784,0.0,27.766537597271963,-4.409879737129072,-0.15881993646778408,0.0,2.8485547330710643,-0.15522285604379843,-0.05449179341428719,0.0,
2017-01-10,114.0,39.20069753052667,-9.660135145950074,-0.2464276340600179,0.0,0.4259842892206452,-0.05990719601537821,,1.0,9.42108825605828,2.5398470701935048,0.2695916863489993,0.0,15.111663765303089,-3.1379544569003324,-0.20765115646003096,0.0,27.72177051417384,-3.444739942444856,-0.12426118096185805,0.0,1.154186310661311,0.4231921511186109,0.36665843911814866,0.0,
