model,task,scenario,fold_idx,train_rows,val_rows,block_rows,block_start,block_end,used_gpu,best_iteration,best_score,Accuracy,Precision,Recall,F1,PositiveRate,PredictedPositiveRate,ROC_AUC,PR_AUC
lightgbm,jump,imputed_locf5__single__supply_shock_and_availability_risk,1,408,102,63,2024-04-12,2025-08-06,False,13,0.7443261582037589,0.6666666666666666,0.7209302325581395,0.775,0.7469879518072289,0.6349206349206349,0.6825396825396826,0.6858695652173913,0.7457920711529181
lightgbm,jump,imputed_locf5__single__supply_shock_and_availability_risk,2,458,115,40,2025-08-07,2025-12-12,False,27,0.7610743695092566,0.8,0.0,0.0,0.0,0.1,0.1,0.4305555555555556,0.10667293233082706
