date,mean_polarity
01-01-2017,0.339192
02-01-2017,0.195802
03-01-2017,0.499688
04-01-2017,0.38249
05-01-2017,0.240586
06-01-2017,0.269365
07-01-2017,0.257459
08-01-2017,0.343688
09-01-2017,-0.307671
10-01-2017,-0.116888
11-01-2017,0.170584
12-01-2017,0.307235
13-01-2017,0.060403
14-01-2017,0.020936
15-01-2017,0.196939
16-01-2017,0.009167
17-01-2017,0.116806
18-01-2017,-0.142196
19-01-2017,0.093735
20-01-2017,0.284305
21-01-2017,0.232968
22-01-2017,0.346579
23-01-2017,-0.182326
24-01-2017,0.215828
25-01-2017,-0.098289
26-01-2017,0.133701
27-01-2017,-0.132675
28-01-2017,0.059304
29-01-2017,0.121012
30-01-2017,-0.300648
31-01-2017,-0.251364
01-02-2017,0.007126
02-02-2017,0.032385
03-02-2017,0.33324
04-02-2017,0.209455
05-02-2017,0.107098
06-02-2017,0.09593
07-02-2017,-0.081919
08-02-2017,-0.386187
09-02-2017,-0.055774
10-02-2017,0.456942
11-02-2017,0.315187
12-02-2017,0.182441
13-02-2017,-0.167732
14-02-2017,0.042112
15-02-2017,-0.330468
16-02-2017,-0.091605
17-02-2017,-0.058015
18-02-2017,0.015525
19-02-2017,-0.002424
20-02-2017,0.117422
21-02-2017,0.497608
22-02-2017,-0.027187
23-02-2017,0.126418
24-02-2017,-0.113775
25-02-2017,0.095058
26-02-2017,0.129838
27-02-2017,0.177069
28-02-2017,-0.058995
01-03-2017,-0.10388
02-03-2017,-0.141558
03-03-2017,0.260617
04-03-2017,0.099238
05-03-2017,0.22574
06-03-2017,-0.276174
07-03-2017,-0.132247
08-03-2017,-0.492167
09-03-2017,-0.327696
10-03-2017,-0.377373
11-03-2017,-0.263284
12-03-2017,0.018602
13-03-2017,-0.367211
14-03-2017,-0.334562
15-03-2017,0.073904
16-03-2017,-0.089995
17-03-2017,0.010259
18-03-2017,0.042708
19-03-2017,0.054731
20-03-2017,-0.565405
21-03-2017,-0.04852
22-03-2017,-0.505593
23-03-2017,-0.1039
24-03-2017,-0.019184
25-03-2017,0.038197
26-03-2017,-0.105429
27-03-2017,-0.386007
28-03-2017,0.093328
29-03-2017,0.366794
30-03-2017,0.25227
31-03-2017,0.030236
01-04-2017,0.054597
02-04-2017,0.02232
03-04-2017,-0.148952
04-04-2017,0.127983
05-04-2017,0.087005
06-04-2017,0.020387
07-04-2017,0.346727
08-04-2017,0.316442
09-04-2017,0.294014
10-04-2017,0.490656
11-04-2017,0.272706
12-04-2017,0.436679
13-04-2017,-0.130269
14-04-2017,-0.106571
15-04-2017,0.164728
16-04-2017,0.198556
17-04-2017,-0.327751
18-04-2017,-0.104699
19-04-2017,-0.33886
20-04-2017,0.053172
21-04-2017,-0.391469
22-04-2017,-0.045417
23-04-2017,0.129357
24-04-2017,0.302773
25-04-2017,0.007048
26-04-2017,-0.202662
27-04-2017,-0.244006
28-04-2017,0.160766
29-04-2017,0.104578
30-04-2017,0.017058
01-05-2017,-0.441168
02-05-2017,-0.304922
03-05-2017,-0.057022
04-05-2017,-0.448089
05-05-2017,-0.441659
06-05-2017,0.12582
07-05-2017,0.166403
08-05-2017,0.107562
09-05-2017,-0.087751
10-05-2017,-0.178025
11-05-2017,0.252569
12-05-2017,0.193444
13-05-2017,0.057513
14-05-2017,0.202598
15-05-2017,0.500857
16-05-2017,0.237736
17-05-2017,-0.126308
18-05-2017,-0.043147
19-05-2017,0.434763
20-05-2017,0.223464
21-05-2017,0.126732
22-05-2017,0.458728
23-05-2017,-0.060035
24-05-2017,-0.069692
25-05-2017,-0.16706
26-05-2017,-0.298431
27-05-2017,0.122266
28-05-2017,-0.007125
29-05-2017,-0.291071
30-05-2017,-0.158198
31-05-2017,-0.554653
01-06-2017,0.088505
02-06-2017,-0.44111
03-06-2017,0.009504
04-06-2017,0.230099
05-06-2017,0.06432
06-06-2017,-0.314962
07-06-2017,-0.4008
08-06-2017,-0.353867
09-06-2017,-0.397659
10-06-2017,0.156451
11-06-2017,0.017687
12-06-2017,0.065252
13-06-2017,0.089196
14-06-2017,-0.322919
15-06-2017,-0.306558
16-06-2017,-0.095515
17-06-2017,0.068702
18-06-2017,0.063095
19-06-2017,-0.487641
20-06-2017,-0.403983
21-06-2017,-0.374523
22-06-2017,-0.063273
23-06-2017,0.173843
24-06-2017,-0.013052
25-06-2017,-0.02025
26-06-2017,0.276447
27-06-2017,0.160974
28-06-2017,-0.262672
29-06-2017,0.147593
30-06-2017,0.179473
01-07-2017,0.14898
02-07-2017,0.058292
03-07-2017,0.251244
04-07-2017,-0.218072
05-07-2017,-0.326105
06-07-2017,0.203255
07-07-2017,-0.313207
08-07-2017,0.133775
09-07-2017,0.069983
10-07-2017,0.057008
11-07-2017,0.094463
12-07-2017,0.118422
13-07-2017,0.161286
14-07-2017,0.169109
15-07-2017,0.148555
16-07-2017,0.125686
17-07-2017,0.293611
18-07-2017,0.18873
19-07-2017,0.010032
20-07-2017,0.054478
21-07-2017,-0.194295
22-07-2017,0.191804
23-07-2017,0.094716
24-07-2017,-0.003532
25-07-2017,0.245934
26-07-2017,0.332719
27-07-2017,0.159274
28-07-2017,0.243617
29-07-2017,0.152502
30-07-2017,0.154879
31-07-2017,0.418238
01-08-2017,0.15669
02-08-2017,-0.154267
03-08-2017,-0.144946
04-08-2017,-0.03916
05-08-2017,0.2043
06-08-2017,0.184163
07-08-2017,-0.154571
08-08-2017,-0.171375
09-08-2017,-0.104029
10-08-2017,0.083743
11-08-2017,-0.193392
12-08-2017,0.160617
13-08-2017,0.04927
14-08-2017,-0.283319
15-08-2017,-0.07153
16-08-2017,0.029954
17-08-2017,0.094117
18-08-2017,-0.038785
19-08-2017,0.102796
20-08-2017,0.082344
21-08-2017,-0.219838
22-08-2017,0.112173
23-08-2017,-0.122001
24-08-2017,-0.131022
25-08-2017,0.377333
26-08-2017,0.306556
27-08-2017,0.234175
28-08-2017,0.295443
29-08-2017,0.253277
30-08-2017,-0.052262
31-08-2017,-0.106312
01-09-2017,-0.172916
02-09-2017,0.100716
03-09-2017,0
04-09-2017,0
05-09-2017,0
06-09-2017,0
07-09-2017,0
08-09-2017,0
09-09-2017,0.092928
10-09-2017,0.036657
11-09-2017,0.207364
12-09-2017,0.042945
13-09-2017,0.229544
14-09-2017,0.461435
15-09-2017,0.085732
16-09-2017,0.166921
17-09-2017,0
18-09-2017,0.132727
19-09-2017,0.171922
20-09-2017,0.474056
21-09-2017,0.036428
22-09-2017,0.027994
23-09-2017,0.190572
24-09-2017,0.107972
25-09-2017,0.444461
26-09-2017,0.158761
27-09-2017,0.124459
28-09-2017,0.05284
29-09-2017,0.08758
30-09-2017,0.121084
01-10-2017,0.185022
02-10-2017,-0.338025
03-10-2017,-0.165408
04-10-2017,-0.205271
05-10-2017,0.111962
06-10-2017,-0.136665
07-10-2017,0.092099
08-10-2017,0.267752
09-10-2017,0.187635
10-10-2017,0.141603
11-10-2017,0.469916
12-10-2017,-0.200949
13-10-2017,0.086006
14-10-2017,0.234025
15-10-2017,0.230861
16-10-2017,0.528219
17-10-2017,0.251014
18-10-2017,0.110017
19-10-2017,-0.183119
20-10-2017,0.016713
21-10-2017,0.220364
22-10-2017,0.112518
23-10-2017,0.243001
24-10-2017,0.126467
25-10-2017,0.125982
26-10-2017,0
27-10-2017,0.238173
28-10-2017,0.491212
29-10-2017,0.262642
30-10-2017,0.378368
31-10-2017,0.264833
01-11-2017,0.238492
02-11-2017,0.255708
03-11-2017,0.43482
04-11-2017,0.314213
05-11-2017,0.2661
06-11-2017,0.500779
07-11-2017,0.322666
08-11-2017,-0.065925
09-11-2017,0.141311
10-11-2017,0.119576
11-11-2017,0.063745
12-11-2017,0.234182
13-11-2017,0.115505
14-11-2017,-0.016059
15-11-2017,-0.38547
16-11-2017,-0.132126
17-11-2017,0.25318
18-11-2017,0.183561
19-11-2017,0.200052
20-11-2017,-0.032966
21-11-2017,0.156985
22-11-2017,0.217828
23-11-2017,-0.071974
24-11-2017,0.41128
25-11-2017,0.287242
26-11-2017,0.181206
27-11-2017,-0.130201
28-11-2017,-0.284375
29-11-2017,-0.288373
30-11-2017,0.246958
01-12-2017,0
02-12-2017,0.43309
03-12-2017,0.362948
04-12-2017,-0.101665
05-12-2017,0.015745
06-12-2017,-0.224425
07-12-2017,0.177501
08-12-2017,0.340702
09-12-2017,0.347764
10-12-2017,0.197734
11-12-2017,0
12-12-2017,0.629663
13-12-2017,-0.099271
14-12-2017,-0.128473
15-12-2017,0.200157
16-12-2017,0.067469
17-12-2017,0.104621
18-12-2017,0.172
19-12-2017,0.350077
20-12-2017,0.283686
21-12-2017,0.034835
22-12-2017,-0.072499
23-12-2017,0.062293
24-12-2017,0.006033
25-12-2017,0.232929
26-12-2017,0.450955
27-12-2017,0.079647
28-12-2017,0.235621
29-12-2017,0.376983
30-12-2017,0.252629
31-12-2017,0.332164
01-01-2018,0.314383
02-01-2018,0.431354
03-01-2018,0.365225
04-01-2018,0.523688
05-01-2018,-0.086066
06-01-2018,0.112593
07-01-2018,0.459771
08-01-2018,0.120004
09-01-2018,0.473593
10-01-2018,0.457974
11-01-2018,0.229642
