Date,Return,sentiment_t_minus_1
04-01-2017,0.017690089,0.499688
05-01-2017,0.007587156,0.38249
06-01-2017,0.003684538,0.240586
09-01-2017,-0.038562436,0.343688
10-01-2017,-0.023946622,-0.307671
11-01-2017,0.026854658,-0.116888
12-01-2017,0.01638053,0.170584
13-01-2017,-0.010048532,0.307235
16-01-2017,0.007366847,0.196939
17-01-2017,-0.007006226,0.009167
18-01-2017,-0.028340867,0.116806
19-01-2017,0.004441162,-0.142196
20-01-2017,0.024260196,0.093735
23-01-2017,-0.00469654,0.346579
24-01-2017,0.003795071,-0.182326
25-01-2017,-0.006514681,0.215828
26-01-2017,0.020841574,-0.098289
27-01-2017,-0.012884931,0.133701
30-01-2017,-0.005237032,0.121012
31-01-2017,0.008473863,-0.300648
01-02-2017,0.019556179,-0.251364
02-02-2017,-0.004234304,0.007126
03-02-2017,0.004410345,0.032385
06-02-2017,-0.019373218,0.107098
07-02-2017,-0.012097286,0.09593
08-02-2017,0.001270764,-0.081919
09-02-2017,0.009209997,-0.386187
10-02-2017,0.019051587,-0.055774
13-02-2017,-0.019770882,0.182441
14-02-2017,0.006812504,-0.167732
15-02-2017,-0.003938423,0.042112
16-02-2017,-0.001795333,-0.330468
17-02-2017,0.002870987,-0.091605
20-02-2017,0.006607757,-0.002424
21-02-2017,0.008507673,0.117422
22-02-2017,-0.014578036,0.497608
23-02-2017,0.013165107,-0.027187
24-02-2017,-0.010482463,0.126418
27-02-2017,-0.001072195,0.129838
28-02-2017,-0.00609758,0.177069
01-03-2017,0.013756358,-0.058995
02-03-2017,-0.022973013,-0.10388
03-03-2017,0.014777706,-0.141558
06-03-2017,0.001965866,0.22574
07-03-2017,-0.001608148,-0.276174
08-03-2017,-0.051556863,-0.132247
09-03-2017,-0.017474329,-0.492167
10-03-2017,-0.015836561,-0.327696
13-03-2017,-0.000389408,0.018602
14-03-2017,-0.008409163,-0.367211
15-03-2017,0.017327407,-0.334562
16-03-2017,-0.001352004,0.073904
17-03-2017,0.000386473,-0.089995
20-03-2017,-0.002708456,0.054731
21-03-2017,-0.012868183,-0.565405
22-03-2017,-0.006299233,-0.04852
23-03-2017,-0.001581028,-0.505593
24-03-2017,0.004735605,-0.1039
27-03-2017,-0.000984737,-0.105429
28-03-2017,0.011363759,-0.386007
29-03-2017,0.021012821,0.093328
30-03-2017,0.010248714,0.366794
31-03-2017,-0.0024577,0.25227
03-04-2017,0.005474294,0.02232
04-04-2017,0.019573745,-0.148952
05-04-2017,0.00350134,0.127983
06-04-2017,0.009702593,0.087005
07-04-2017,0.006356146,0.020387
10-04-2017,0.013307156,0.294014
11-04-2017,0.004455938,0.490656
12-04-2017,-0.006601862,0.272706
13-04-2017,0.000536913,0.436679
17-04-2017,-0.009528162,0.198556
18-04-2017,-0.008526129,-0.327751
19-04-2017,-0.036360897,-0.104699
20-04-2017,0.001132931,-0.33886
21-04-2017,-0.019629025,0.053172
24-04-2017,-0.006952519,0.129357
25-04-2017,0.009643276,0.302773
26-04-2017,-0.005388774,0.007048
27-04-2017,-0.007360095,-0.202662
28-04-2017,0.005621804,-0.244006
01-05-2017,-0.004067802,0.017058
02-05-2017,-0.020789139,-0.441168
03-05-2017,0.006518542,-0.304922
04-05-2017,-0.04861298,-0.057022
05-05-2017,0.01477253,-0.448089
08-05-2017,0.004876076,0.166403
09-05-2017,-0.012440254,0.107562
10-05-2017,0.030118497,-0.087751
11-05-2017,0.010892275,-0.178025
12-05-2017,0.001377817,0.252569
15-05-2017,0.019092729,0.202598
16-05-2017,-0.00328598,0.500857
17-05-2017,0.010783852,0.237736
18-05-2017,0.00572958,-0.126308
19-05-2017,0.02073199,-0.043147
22-05-2017,0.004838119,0.126732
23-05-2017,0.005184237,0.458728
24-05-2017,-0.003514942,-0.060035
25-05-2017,-0.047438224,-0.069692
26-05-2017,0.013319375,-0.16706
29-05-2017,0.002680967,-0.007125
30-05-2017,-0.008643096,-0.291071
31-05-2017,-0.029958188,-0.158198
01-06-2017,0.006340421,-0.554653
02-06-2017,-0.013521781,0.088505
05-06-2017,-0.00965608,0.230099
06-06-2017,0.013053705,0.06432
07-06-2017,-0.0419699,-0.314962
08-06-2017,-0.004170148,-0.4008
09-06-2017,0.006041056,-0.353867
12-06-2017,0.002903362,0.017687
13-06-2017,0.008865124,0.065252
14-06-2017,-0.035942022,0.089196
15-06-2017,-0.001703578,-0.322919
16-06-2017,0.009545093,-0.306558
19-06-2017,-0.009758245,0.063095
20-06-2017,-0.019154788,-0.487641
21-06-2017,-0.026421616,-0.403983
22-06-2017,0.008884998,-0.374523
23-06-2017,0.007051594,-0.063273
26-06-2017,0.006347838,-0.02025
27-06-2017,0.017734029,0.276447
28-06-2017,0.014048762,0.160974
29-06-2017,0.002322391,-0.262672
30-06-2017,0.010488873,0.147593
03-07-2017,0.036069484,0.058292
04-07-2017,-0.001410011,0.251244
05-07-2017,-0.037376014,-0.218072
06-07-2017,0.006673643,-0.326105
07-07-2017,-0.029531781,0.203255
10-07-2017,0.003632871,0.069983
11-07-2017,0.01355953,0.057008
12-07-2017,0.004618946,0.094463
13-07-2017,0.014143331,0.118422
14-07-2017,0.010068923,0.161286
17-07-2017,-0.010068923,0.125686
18-07-2017,0.008636698,0.293611
19-07-2017,0.017455284,0.18873
20-07-2017,-0.008080852,0.010032
21-07-2017,-0.025473851,0.054478
24-07-2017,0.011173301,0.094716
25-07-2017,0.032391496,-0.003532
26-07-2017,0.015222198,0.245934
27-07-2017,0.01015039,0.332719
28-07-2017,0.019806435,0.159274
31-07-2017,0.002472189,0.154879
01-08-2017,-0.016662264,0.418238
02-08-2017,0.011138967,0.15669
03-08-2017,-0.006706933,-0.154267
04-08-2017,0.00785219,-0.144946
07-08-2017,-0.00095429,0.184163
08-08-2017,-0.0044015,-0.154571
09-08-2017,0.010683047,-0.171375
10-08-2017,-0.015296665,-0.104029
11-08-2017,0.003846159,0.083743
14-08-2017,-0.026647497,0.04927
15-08-2017,0.001378903,-0.283319
16-08-2017,-0.010487877,-0.07153
17-08-2017,0.015005217,0.029954
18-08-2017,0.032581195,0.094117
21-08-2017,-0.020311103,0.082344
22-08-2017,0.004056801,-0.219838
23-08-2017,0.013405026,0.112173
24-08-2017,-0.010132961,-0.122001
25-08-2017,0.007084759,-0.131022
28-08-2017,-0.009971319,0.234175
29-08-2017,0.002117625,0.295443
30-08-2017,-0.022166959,0.253277
31-08-2017,0.029448079,-0.052262
01-09-2017,0.007038933,-0.106312
04-09-2017,-0.007802875,0
05-09-2017,0.019675247,0
06-09-2017,0.015244764,0
07-09-2017,0.00533629,0
08-09-2017,-0.013115548,0
11-09-2017,0.001115034,0.036657
12-09-2017,0.007954903,0.207364
13-09-2017,0.016266465,0.042945
14-09-2017,0.005604281,0.229544
15-09-2017,0.002700515,0.461435
18-09-2017,-0.002520253,0
19-09-2017,-0.00614719,0.132727
20-09-2017,0.020641494,0.171922
21-09-2017,0.002484033,0.474056
22-09-2017,0.007591174,0.036428
25-09-2017,0.037284263,0.107972
26-09-2017,-0.009875783,0.444461
27-09-2017,-0.009283202,0.158761
28-09-2017,-0.00849888,0.124459
29-09-2017,0.002261854,0.05284
02-10-2017,-0.024988103,0.185022
03-10-2017,-0.002140564,-0.338025
04-10-2017,-0.003577821,-0.165408
05-10-2017,0.021277398,-0.205271
06-10-2017,-0.024508419,0.111962
09-10-2017,0.003051793,0.267752
10-10-2017,0.014591006,0.187635
11-10-2017,0.005812434,0.141603
12-10-2017,-0.012192041,0.469916
13-10-2017,0.016223244,-0.200949
16-10-2017,0.011305451,0.230861
17-10-2017,0.001037165,0.528219
18-10-2017,0.004653977,0.251014
19-10-2017,-0.015947643,0.110017
20-10-2017,0.009045113,-0.183119
23-10-2017,-0.006601831,0.112518
24-10-2017,0.016595022,0.243001
25-10-2017,0.001884046,0.126467
26-10-2017,0.014608719,0.125982
27-10-2017,0.019041831,0
30-10-2017,0.007582037,0.262642
31-10-2017,0.007687942,0.378368
01-11-2017,-0.014443054,0.264833
02-11-2017,0.00214681,0.238492
03-11-2017,0.023637909,0.255708
06-11-2017,0.034830179,0.2661
07-11-2017,-0.009065395,0.500779
08-11-2017,-0.003145151,0.322666
09-11-2017,0.006906322,-0.065925
10-11-2017,-0.006433918,0.141311
13-11-2017,-0.005683628,0.234182
14-11-2017,-0.015155431,0.115505
15-11-2017,-0.005480349,-0.016059
16-11-2017,-0.008277252,-0.38547
17-11-2017,0.021922219,-0.132126
20-11-2017,-0.008003885,0.200052
21-11-2017,0.005609439,-0.032966
22-11-2017,0.011915305,0.156985
23-11-2017,0.003625763,0.217828
24-11-2017,0.00486619,-0.071974
27-11-2017,-0.000313234,0.181206
28-11-2017,-0.003609262,-0.130201
29-11-2017,-0.007891455,-0.284375
30-11-2017,0.007262425,-0.288373
01-12-2017,0.002513748,0.246958
04-12-2017,-0.020289173,0.362948
05-12-2017,0.006543795,-0.101665
06-12-2017,-0.026436098,0.015745
07-12-2017,0.015881066,-0.224425
08-12-2017,0.019108862,0.177501
11-12-2017,0.020142769,0.197734
12-12-2017,-0.021089589,0
13-12-2017,-0.014310945,0.629663
14-12-2017,0.013837199,-0.099271
15-12-2017,-0.001264422,-0.128473
18-12-2017,0.002842706,0.104621
19-12-2017,0.006131613,0.172
20-12-2017,0.011841834,0.350077
21-12-2017,0.0052526,0.283686
22-12-2017,0.005378422,0.034835
26-12-2017,0.026765036,0.232929
27-12-2017,-0.008691798,0.450955
28-12-2017,0.004205473,0.079647
29-12-2017,0.002245678,0.235621
02-01-2018,-0.00449641,0.314383
03-01-2018,0.018897966,0.431354
04-01-2018,0.003384596,0.365225
05-01-2018,-0.00663279,0.523688
08-01-2018,0.002363369,0.459771
09-01-2018,0.015227234,0.120004
10-01-2018,0.005506462,0.473593
11-01-2018,0.000866676,0.457974
12-01-2018,0.008768834,0.229642
15-01-2018,0.005566274,0.305598
16-01-2018,-0.015924589,0.158661
17-01-2018,0.003320583,0.118016
18-01-2018,-0.001009446,-0.051921
19-01-2018,-0.010150899,0.083444
22-01-2018,0.006102896,-0.034963
23-01-2018,0.013382457,0.294367
24-01-2018,0.008114501,0.263117
25-01-2018,-0.001560837,0.11552
26-01-2018,0.001419044,0.249519
29-01-2018,-0.01514531,0.203349
30-01-2018,-0.00635473,0.154997
31-01-2018,0.000434562,-0.041669
01-02-2018,0.00865182,-0.272972
02-02-2018,-0.015481753,0.358893
05-02-2018,-0.01409715,0.056254
06-02-2018,-0.011302916,-0.419531
07-02-2018,-0.020398078,-0.536483
