Date,Return
04-01-2017,0.017690089
05-01-2017,0.007587156
06-01-2017,0.003684538
09-01-2017,-0.038562436
10-01-2017,-0.023946622
11-01-2017,0.026854658
12-01-2017,0.01638053
13-01-2017,-0.010048532
16-01-2017,0.007366847
17-01-2017,-0.007006226
18-01-2017,-0.028340867
19-01-2017,0.004441162
20-01-2017,0.024260196
23-01-2017,-0.00469654
24-01-2017,0.003795071
25-01-2017,-0.006514681
26-01-2017,0.020841574
27-01-2017,-0.012884931
30-01-2017,-0.005237032
31-01-2017,0.008473863
01-02-2017,0.019556179
02-02-2017,-0.004234304
03-02-2017,0.004410345
06-02-2017,-0.019373218
07-02-2017,-0.012097286
08-02-2017,0.001270764
09-02-2017,0.009209997
10-02-2017,0.019051587
13-02-2017,-0.019770882
14-02-2017,0.006812504
15-02-2017,-0.003938423
16-02-2017,-0.001795333
17-02-2017,0.002870987
20-02-2017,0.006607757
21-02-2017,0.008507673
22-02-2017,-0.014578036
23-02-2017,0.013165107
24-02-2017,-0.010482463
27-02-2017,-0.001072195
28-02-2017,-0.00609758
01-03-2017,0.013756358
02-03-2017,-0.022973013
03-03-2017,0.014777706
06-03-2017,0.001965866
07-03-2017,-0.001608148
08-03-2017,-0.051556863
09-03-2017,-0.017474329
10-03-2017,-0.015836561
13-03-2017,-0.000389408
14-03-2017,-0.008409163
15-03-2017,0.017327407
16-03-2017,-0.001352004
17-03-2017,0.000386473
20-03-2017,-0.002708456
21-03-2017,-0.012868183
22-03-2017,-0.006299233
23-03-2017,-0.001581028
24-03-2017,0.004735605
27-03-2017,-0.000984737
28-03-2017,0.011363759
29-03-2017,0.021012821
30-03-2017,0.010248714
31-03-2017,-0.0024577
03-04-2017,0.005474294
04-04-2017,0.019573745
05-04-2017,0.00350134
06-04-2017,0.009702593
07-04-2017,0.006356146
10-04-2017,0.013307156
11-04-2017,0.004455938
12-04-2017,-0.006601862
13-04-2017,0.000536913
17-04-2017,-0.009528162
18-04-2017,-0.008526129
19-04-2017,-0.036360897
20-04-2017,0.001132931
21-04-2017,-0.019629025
24-04-2017,-0.006952519
25-04-2017,0.009643276
26-04-2017,-0.005388774
27-04-2017,-0.007360095
28-04-2017,0.005621804
01-05-2017,-0.004067802
02-05-2017,-0.020789139
03-05-2017,0.006518542
04-05-2017,-0.04861298
05-05-2017,0.01477253
08-05-2017,0.004876076
09-05-2017,-0.012440254
10-05-2017,0.030118497
11-05-2017,0.010892275
12-05-2017,0.001377817
15-05-2017,0.019092729
16-05-2017,-0.00328598
17-05-2017,0.010783852
18-05-2017,0.00572958
19-05-2017,0.02073199
22-05-2017,0.004838119
23-05-2017,0.005184237
24-05-2017,-0.003514942
25-05-2017,-0.047438224
26-05-2017,0.013319375
29-05-2017,0.002680967
30-05-2017,-0.008643096
31-05-2017,-0.029958188
01-06-2017,0.006340421
02-06-2017,-0.013521781
05-06-2017,-0.00965608
06-06-2017,0.013053705
07-06-2017,-0.0419699
08-06-2017,-0.004170148
09-06-2017,0.006041056
12-06-2017,0.002903362
13-06-2017,0.008865124
14-06-2017,-0.035942022
15-06-2017,-0.001703578
16-06-2017,0.009545093
19-06-2017,-0.009758245
20-06-2017,-0.019154788
21-06-2017,-0.026421616
22-06-2017,0.008884998
23-06-2017,0.007051594
26-06-2017,0.006347838
27-06-2017,0.017734029
28-06-2017,0.014048762
29-06-2017,0.002322391
30-06-2017,0.010488873
03-07-2017,0.036069484
04-07-2017,-0.001410011
05-07-2017,-0.037376014
06-07-2017,0.006673643
07-07-2017,-0.029531781
10-07-2017,0.003632871
11-07-2017,0.01355953
12-07-2017,0.004618946
13-07-2017,0.014143331
14-07-2017,0.010068923
