model,task,scenario,fold_idx,train_rows,val_rows,block_rows,block_start,block_end,used_gpu,best_iteration,best_score,Accuracy,Precision,Recall,F1,PositiveRate,PredictedPositiveRate,ROC_AUC,PR_AUC
xgboost,jump,imputed_locf5_decay__single__supply_shock_and_availability_risk,1,408,102,63,2024-04-12,2025-08-06,True,182,0.7756850670758441,0.6190476190476191,0.7352941176470589,0.625,0.6756756756756757,0.6349206349206349,0.5396825396825397,0.7021739130434782,0.7512860608310952
xgboost,jump,imputed_locf5_decay__single__supply_shock_and_availability_risk,2,458,115,40,2025-08-07,2025-12-12,True,213,0.7365560041591613,0.875,0.0,0.0,0.0,0.1,0.025,0.6111111111111112,0.14395600744284953
