model,task,scenario,fold_idx,train_rows,val_rows,block_rows,block_start,block_end,used_gpu,best_iteration,best_score,Accuracy,Precision,Recall,F1,PositiveRate,PredictedPositiveRate,ROC_AUC,PR_AUC
xgboost,jump,imputed_locf5_decay__single__demand_and_macro_economy,1,408,102,63,2024-04-12,2025-08-06,True,182,0.7876917671545564,0.6190476190476191,0.75,0.6,0.6666666666666666,0.6349206349206349,0.5079365079365079,0.7043478260869566,0.759298707721663
xgboost,jump,imputed_locf5_decay__single__demand_and_macro_economy,2,458,115,40,2025-08-07,2025-12-12,True,90,0.7343552896296359,0.9,0.0,0.0,0.0,0.1,0.0,0.3506944444444444,0.10346500288541152
