model,task,scenario,fold_idx,train_rows,val_rows,block_rows,block_start,block_end,used_gpu,best_iteration,best_score,Accuracy,Precision,Recall,F1,PositiveRate,PredictedPositiveRate,ROC_AUC,PR_AUC
xgboost,jump,imputed_locf5_decay__single__inventory_spr_and_refinery,1,408,102,63,2024-04-12,2025-08-06,True,1,0.7463433741221138,0.6507936507936508,0.7647058823529411,0.65,0.7027027027027027,0.6349206349206349,0.5396825396825397,0.6625,0.7282665603790923
xgboost,jump,imputed_locf5_decay__single__inventory_spr_and_refinery,2,458,115,40,2025-08-07,2025-12-12,True,89,0.7359069397646802,0.9,0.0,0.0,0.0,0.1,0.0,0.4722222222222222,0.10865569095151673
